id,name,character_name,episode_name
1,"George Clooney","Sparky","Big *** Al's Big *** Boat Ride"
2,"Micheal Buffer","Michael Buffer","Damien"
3,"Natasha Henstridge","Ms. Ellen","Tom's Rhinoplasty"
4,"Robert Smith","Robert Smith","Mecha-Streisand"
5,"Jay Leno","Mr. Kitty","Cartman's Mom is a ***** ****"
6,"Henry Winkler","The Kid-Eating Monster","City on the Edge of Forever"
7,"Jay Leno","Jay Leno","City on the Edge of Forever"
8,"Brent Musburger","Scuzzlebutt's Leg","City on the Edge of Forever"
9,"Jonathan Katz","Dr. Katz","Summer Sucks"
10,"Joe Strummer","Joe Strummer","Chef Aid"
11,"Rancid","Rancid","Chef Aid"
12,"Ozzy Osbourne","Ozzy Osbourne","Chef Aid"
13,"Ween","Ween","Chef Aid"
14,"Primus","Primus","Chef Aid"
15,"Elton John","Elton John","Chef Aid"
16,"Meat Loaf","Meat Loaf","Chef Aid"
17,"Rick James","Rick James","Chef Aid"
18,"DMX","DMX","Chef Aid"
19,"Devo","Devo","Chef Aid"
20,"Jennifer Aniston","Miss Stevens","Rainforest Shmainforest"
21,"Jonathan Davis","Jonathan Davis","Korn's Groovy Pirate Ghost Mystery"
22,"James Shaffer","James Shaffer","Korn's Groovy Pirate Ghost Mystery"
23,"Brian Welch","Brian Welch","Korn's Groovy Pirate Ghost Mystery"
24,"Reginald Arvizu","Reginald Arvizu","Korn's Groovy Pirate Ghost Mystery"
25,"David Silveria","David Silveria","Korn's Groovy Pirate Ghost Mystery"
26,"Richard Belzer","Loogie","The Tooth Fairy's Tats 2000"
27,"Cheech Marin","Carlos Ramirez","Cherokee Hair Tampons"
28,"Tommy Chong","Chief Running Pinto","Cherokee Hair Tampons"
29,"Kief Davidson","Kindergarteners","Trapper Keeper"
30,"Kief Davidson","Kindergarteners","Hellen Keller! The Musical"
31,"Malcom McDowell","A British Person","Pip"
32,"Louis Price","Cornwallis' Singing Voice","A Very Crappy Christmas"
33,"Radiohead","Radiohead","Scott Tenorman Must Die"
34,"Norman Lear","Benjamin Franklin","I'm a Little Bit Country"
35,"Yao Ming","Yao","You got *** in the ***"
36,"Wing","Wing","Wing"
37,"Diedrich Bader","Bat Dad","The Losing Edge"
38,"Peter Serafinowicz","Darth Chef","The Return of Chef"
39,"Jonathan Kimmel","Peter Griffin","Cartoon Wars Part 1"
40,"Jonathan Kimmel","Peter Griffin","Cartoon Wars Part 2"
41,"Kathryn Howell","Miss Stevenson","Miss Teacher Bangs a Boy"
42,"Jonathan Kimmel","Jimmy Kimmel","Fishsticks"
43,"Robert Amstler","Arnold Schwarzenegger","It's a Jersey Thing"
44,"Bill Hader","Farmer 2","You're Getting Old"
45,"Patrick Lander","Duncan Everton / Donald T Brown","A History Channel Thanksgiving"
46,"Michael Zazarino","Live Action Stan","I Should Have Never Gone Ziplining"
47,"Brandon Hardesty","Live Action Cartman","I Should Have Never Gone Ziplining"
48,"Eric Meyers","Narrator","I Should Have Never Gone Ziplining"
49,"Brad Paisley","Brad Paisley","Cartman Finds Love"
50,"Bill Hader","Alec Baldwin","Let Go, Let Gov"
51,"Bill Hader","Plex","Taming Strange"
52,"Sia","Lorde","The Cissy"
53,"Bill Hader","Steve","Grounded Vindaloop"
54,"Peter Serafinowicz","Match Commentator","**** Magic"
55,"PewDiePie","PewDiePie","$REHASH"
56,"Bill Hader","Steve","#HappyHolograms"
57,"PewDiePie","PewDiePie","#HappyHolograms"
58,"Bill Hader","Tom","Naughty Ninjas"
59,"Bill Hader","Tom","Sponsored Content"
60,"Bill Hader","Tom","Truth and Advertising"
61,"Elon Musk","Elon Musk","Members Only"
62,"Elon Musk","Elon Musk","Not Funny"
63,"Elon Musk","Elon Musk","The End of Serialization as We Know It"
64,"Josh Gad","Marcus Preston","Hummels & ******"
65,"Lex Lang","The Narrator","The Scoots"
66,"Brock Baker","Winnie The Pooh","Band in China"
67,"Brock Baker","Winnie The Pooh","Tegridy Farms Halloween Special"
68,"Becca Scott","Sophie Gray","Basic Cable"
69,"Josef Saul Furman","Texas Make a Wish Recipient","The Pandemic Special"
70,"Endre Hules","Sergei Shoigu","Back to the Cold War"